Sample	ASV	Relative_abundance	Prevalence_Compartment	Species	Phylum	Soil_div	Compartment
ITS-AF-2017-Boston-1	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-AF-2017-Boston-2	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-AF-2017-Boston-3	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-AF-2017-Boston-4	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-AF-2017-Boston-5	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-AF-2017-Major-1	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-AF-2017-Major-2	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-AF-2017-Major-3	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-AF-2017-Major-4	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-AF-2017-Major-5	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
P14B20ATD-E07	ASV18	36.19167718	Root & Stem	Clonostachys rosea	Ascomycota	High	Root
P14B20ATU-H01	ASV18	13.82113821	Root & Stem	Clonostachys rosea	Ascomycota	High	Stem
P14B20BTD-E09	ASV18	6.308535077	Root & Stem	Clonostachys rosea	Ascomycota	High	Root
P14B20BTU-H03	ASV18	6.96006204	Root & Stem	Clonostachys rosea	Ascomycota	High	Stem
P14B20CTD-E11	ASV18	4.656523744	Root & Stem	Clonostachys rosea	Ascomycota	High	Root
P14B20CTU-H05	ASV18	8.990913439	Root & Stem	Clonostachys rosea	Ascomycota	High	Stem
P14B26ATD-G07	ASV18	5.989911728	Root & Stem	Clonostachys rosea	Ascomycota	Low	Root
P14B26ATU-B02	ASV18	5.33877551	Root & Stem	Clonostachys rosea	Ascomycota	Low	Stem
P14B26BTD-G09	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Root
P14B26BTU-B04	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Stem
P14B26CTD-G11	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Root
P14B26CTU-B06	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Stem
P14B30ATD-F07	ASV18	7.222739981	Root & Stem	Clonostachys rosea	Ascomycota	High	Root
P14B30ATU-A02	ASV18	6.625479335	Root & Stem	Clonostachys rosea	Ascomycota	High	Stem
P14B30BTD-F09	ASV18	1.879699248	Root & Stem	Clonostachys rosea	Ascomycota	High	Root
P14B30BTU-A04	ASV18	3.829296424	Root & Stem	Clonostachys rosea	Ascomycota	High	Stem
