Combined	All	ASV	Compartment	GxY	Soil_div	Rel_abund_Seed	Type
ASV1034_BostonY1	nsSeed-BostonY1	ASV1034	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1034_BostonY2	nsSeed-BostonY2	ASV1034	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1034_MajorY1	nsSeed-MajorY1	ASV1034	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1034_MajorY2	nsSeed-MajorY2	ASV1034	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1035_BostonY1	nsSeed-BostonY1	ASV1035	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1035_BostonY2	nsSeed-BostonY2	ASV1035	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1035_MajorY1	nsSeed-MajorY1	ASV1035	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1035_MajorY2	nsSeed-MajorY2	ASV1035	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1036_BostonY1	nsSeed-BostonY1	ASV1036	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1036_BostonY2	nsSeed-BostonY2	ASV1036	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1036_MajorY1	nsSeed-MajorY1	ASV1036	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1036_MajorY2	nsSeed-MajorY2	ASV1036	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1037_BostonY1	nsSeed-BostonY1	ASV1037	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1037_BostonY2	nsSeed-BostonY2	ASV1037	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1037_MajorY1	nsSeed-MajorY1	ASV1037	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1037_MajorY2	nsSeed-MajorY2	ASV1037	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1038_BostonY1	nsSeed-BostonY1	ASV1038	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1038_BostonY2	nsSeed-BostonY2	ASV1038	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1038_MajorY1	nsSeed-MajorY1	ASV1038	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1038_MajorY2	nsSeed-MajorY2	ASV1038	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1039_BostonY1	nsSeed-BostonY1	ASV1039	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1039_BostonY2	nsSeed-BostonY2	ASV1039	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1039_MajorY1	nsSeed-MajorY1	ASV1039	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1039_MajorY2	nsSeed-MajorY2	ASV1039	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV104_BostonY1	nsSeed-BostonY1	ASV104	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV104_BostonY2	nsSeed-BostonY2	ASV104	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV104_MajorY1	nsSeed-MajorY1	ASV104	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV104_MajorY2	nsSeed-MajorY2	ASV104	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1040_BostonY1	nsSeed-BostonY1	ASV1040	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1040_BostonY2	nsSeed-BostonY2	ASV1040	Seed	BostonY2	ns 	0	< 0.01%: Rare
